question,expected_sql,scope,base_sql,ft_sql,base_safe,ft_safe,base_exec,ft_exec,base_semantic,ft_semantic
Quel est le chiffre d'affaires des magasins situés à Lyon ?,SELECT SUM(PRIX_AP_REMISE * QUANTITE) AS ca_lyon FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE UPPER(m.VILLE) LIKE '%LYON%' AND tc.ANNULATION = False,in_scope,INCOMPLETE_SCHEMA,SELECT SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS ca_lyon FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE UPPER(m.VILLE) LIKE '%LYON%' AND tc.ANNULATION = False,False,True,False,True,0,1
Quel est le CA total des magasins de LYON ?,SELECT SUM(PRIX_AP_REMISE * QUANTITE) AS ca_lyon FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE UPPER(m.VILLE) LIKE '%LYON%' AND tc.ANNULATION = False,in_scope,INCOMPLETE_SCHEMA,"SELECT SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS ca_lyon FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE UPPER(m.VILLE) LIKE '%LYON%' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False;",False,True,False,True,1,1
Quel est le CA du mois de mars 2019 ?,"SELECT SUM(PRIX_AP_REMISE * QUANTITE) FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE SUBSTR(DATE_TICKET, 4, 2) = '03' AND SUBSTR(DATE_TICKET, 7, 4) = '2019' AND ANNULATION = False",in_scope,INCOMPLETE_SCHEMA,"SELECT SUM(PRIX_AP_REMISE * QUANTITE) FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE SUBSTR(DATE_TICKET, 4, 2) = '03' AND SUBSTR(DATE_TICKET, 7, 4) = '2019' AND ANNULATION = False;",False,True,False,True,1,1
Quel est le CA du premier semestre 2021 ?,"SELECT SUM(PRIX_AP_REMISE * QUANTITE) FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE substr(CAST(DATE_TICKET as STRING), 7, 4) = '2021' AND CAST(substr(CAST(DATE_TICKET as STRING), 4, 2) AS INT64) <= 6 AND ANNULATION = False",in_scope,INCOMPLETE_SCHEMA,"SELECT SUM(PRIX_AP_REMISE * QUANTITE) AS ca_s1_2021 FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE SUBSTR(DATE_TICKET, 4, 2) IN ('01', '02', '03', '04', '05', '06') AND SUBSTR(DATE_TICKET, 7, 4) = '2021' AND ANNULATION = False;",False,True,False,True,1,1
Quel est le CA du T1 2022 ?,"SELECT SUM(PRIX_AP_REMISE * QUANTITE) as ca_t1_2022 FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE SUBSTR(DATE_TICKET, 4, 2) IN ('01', '02', '03') AND SUBSTR(DATE_TICKET, 7, 4) = '2022' AND ANNULATION = False;",out_of_scope,INCOMPLETE_SCHEMA,"SELECT SUM(PRIX_AP_REMISE * QUANTITE) FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE PARSE_DATE('%d/%m/%Y', DATE_TICKET) BETWEEN '2022-01-01' AND '2022-03-31' AND ANNULATION = False",False,True,False,True,2,2
Quel est le chiffre d'affaires journalier moyen de juillet 21?,"WITH ca_journalier_juillet_2021 AS ( SELECT PARSE_DATE('%d/%m/%Y', DATE_TICKET) as DATE_TICKET , SUM(PRIX_AP_REMISE * QUANTITE) AS ca_journalier FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` WHERE PARSE_DATE('%d/%m/%Y', DATE_TICKET) between ""2021-07-01"" AND ""2021-07-31"" GROUP BY DATE_TICKET) Select avg(ca_journalier) as ca_journalier_moyen_juillet_2021 from ca_journalier_juillet_2021",in_scope,INCOMPLETE_SCHEMA,"SELECT AVG(ca_par_jour) AS ca_journalier_moyen_juillet_2021 FROM ( SELECT PARSE_DATE('%d/%m/%Y', DATE_TICKET) AS DATE_TICKET, SUM(PRIX_AP_REMISE * QUANTITE) AS ca_par_jour FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE PARSE_DATE('%d/%m/%Y', DATE_TICKET) BETWEEN '2021-07-01' AND '2021-07-31' GROUP BY DATE_TICKET ) AS ca_journalier",False,True,False,True,1,2
Quel est le chiffre d'affaires total de l'entreprise ?,SELECT SUM(PRIX_AP_REMISE * QUANTITE) FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE ANNULATION = False,in_scope,INCOMPLETE_SCHEMA,SELECT SUM(PRIX_AP_REMISE * QUANTITE) AS ca_total FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE ANNULATION = False,False,True,False,True,2,1
Quel est le CA total depuis le début de l'activité ?,SELECT SUM(PRIX_AP_REMISE * QUANTITE) AS ca_total FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE ANNULATION = False,in_scope,INCOMPLETE_SCHEMA,SELECT SUM(PRIX_AP_REMISE * QUANTITE) AS ca_total FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE ANNULATION = False,False,True,False,True,1,1
Quel a été le CA total pour l'année 2023 ?,"SELECT SUM(PRIX_AP_REMISE * QUANTITE) FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE SUBSTR(DATE_TICKET, 7, 4) = '2023' AND ANNULATION = False",in_scope,INCOMPLETE_SCHEMA,"SELECT SUM(PRIX_AP_REMISE * QUANTITE) AS ca_total_2023 FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE SUBSTR(DATE_TICKET, 7, 4) = '2023' AND ANNULATION = False;",False,True,False,True,2,1
Quel est le jour de l'année avec le plus haut chiffre d'affaires moyen depuis le début ?,"WITH DailyRevenue AS (SELECT PARSE_DATE('%d/%m/%Y', DATE_TICKET) AS sale_date, SUM(PRIX_AP_REMISE * QUANTITE) AS total_revenue FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` WHERE ANNULATION = FALSE GROUP BY sale_date), DailyRevenueWithDayOfYear AS (SELECT FORMAT_DATE('%d%m', sale_date) as day_of_year_str, sale_date, total_revenue FROM DailyRevenue) SELECT day_of_year_str, AVG(total_revenue) AS avg_revenue FROM DailyRevenueWithDayOfYear GROUP BY day_of_year_str ORDER BY avg_revenue DESC LIMIT 1",in_scope,INCOMPLETE_SCHEMA,"WITH DailyRevenue AS ( SELECT PARSE_DATE('%d/%m/%Y', DATE_TICKET) AS sale_date, SUM(PRIX_AP_REMISE * QUANTITE) AS total_revenue FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` WHERE ANNULATION = False GROUP BY sale_date ), DailyRevenueWithDayOfYear AS ( SELECT FORMAT_DATE('%d%m', sale_date) AS day_of_year, sale_date, total_revenue FROM DailyRevenue ) SELECT day_of_year, AVG(total_revenue) AS avg_revenue FROM DailyRevenueWithDayOfYear GROUP BY day_of_year ORDER BY avg_revenue DESC LIMIT 1",False,True,False,True,1,1
